,Height,RewardFee,Transactions,blockchain,nonce,time,Time,AvgFee/Tx
31,786554,0.00881174,42,DASH.main,0,2017-12-13T15:38:02Z,2017-12-13 15:38:02,0.00020980333333333326
32,786553,0.00163425,7,DASH.main,0,2017-12-13T15:35:13Z,2017-12-13 15:35:13,0.00023346428571428569
33,786552,0.00165502,3,DASH.main,0,2017-12-13T15:34:29Z,2017-12-13 15:34:29,0.0005516733333333334
34,786551,0.000113,2,DASH.main,0,2017-12-13T15:33:35Z,2017-12-13 15:33:35,5.650000000000001e-05
35,786550,0.017026,3,DASH.main,0,2017-12-13T15:33:29Z,2017-12-13 15:33:29,0.005675333333333333
36,786549,0.000746,2,DASH.main,0,2017-12-13T15:33:09Z,2017-12-13 15:33:09,0.000373
37,786548,0.02048876,32,DASH.main,0,2017-12-13T15:33:05Z,2017-12-13 15:33:05,0.00064027375
38,786547,0.0444821,30,DASH.main,0,2017-12-13T15:30:03Z,2017-12-13 15:30:03,0.0014827366666666669
39,786546,0.06198049,13,DASH.main,0,2017-12-13T15:26:12Z,2017-12-13 15:26:12,0.00476773
40,786545,0.00060228,8,DASH.main,0,2017-12-13T15:24:56Z,2017-12-13 15:24:56,7.5285e-05
41,786544,0.00505655,15,DASH.main,0,2017-12-13T15:24:18Z,2017-12-13 15:24:18,0.0003371033333333333
42,786543,0.00047654,8,DASH.main,0,2017-12-13T15:22:16Z,2017-12-13 15:22:16,5.95675e-05
43,786542,0.028691700000000007,110,DASH.main,0,2017-12-13T15:21:36Z,2017-12-13 15:21:36,0.0002608336363636364
44,786541,0.0002407,3,DASH.main,0,2017-12-13T15:13:08Z,2017-12-13 15:13:08,8.023333333333334e-05
45,786540,0.04814801,93,DASH.main,0,2017-12-13T15:12:45Z,2017-12-13 15:12:45,0.0005177205376344086
46,786539,0.03307729,126,DASH.main,0,2017-12-13T15:01:28Z,2017-12-13 15:01:28,0.00026251817460317463
47,786538,0.00734274,18,DASH.main,0,2017-12-13T14:52:17Z,2017-12-13 14:52:17,0.00040793
48,786537,0.00849395,56,DASH.main,0,2017-12-13T14:50:20Z,2017-12-13 14:50:20,0.00015167767857142859
49,786536,0.00145625,17,DASH.main,0,2017-12-13T14:44:28Z,2017-12-13 14:44:28,8.566176470588236e-05
50,786535,0.03551067,94,DASH.main,0,2017-12-13T14:42:06Z,2017-12-13 14:42:06,0.000377773085106383
51,786534,0.00132819,14,DASH.main,0,2017-12-13T14:30:17Z,2017-12-13 14:30:17,9.487071428571428e-05
52,786533,0.00330473,50,DASH.main,0,2017-12-13T14:29:27Z,2017-12-13 14:29:27,6.60946e-05
53,786532,0.0016247,25,DASH.main,0,2017-12-13T14:26:53Z,2017-12-13 14:26:53,6.4988e-05
54,786531,0.00537889,45,DASH.main,0,2017-12-13T14:24:15Z,2017-12-13 14:24:15,0.00011953088888888889
55,786530,0.0,1,DASH.main,0,2017-12-13T14:22:16Z,2017-12-13 14:22:16,0.0
56,786529,0.1373002,51,DASH.main,0,2017-12-13T14:22:02Z,2017-12-13 14:22:02,0.002692160784313727
57,786528,0.00215916,3,DASH.main,0,2017-12-13T14:15:48Z,2017-12-13 14:15:48,0.0007197200000000001
58,786527,0.01133769,34,DASH.main,0,2017-12-13T14:15:37Z,2017-12-13 14:15:37,0.00033346147058823533
59,786526,0.00025824,5,DASH.main,0,2017-12-13T14:11:52Z,2017-12-13 14:11:52,5.1648000000000004e-05
60,786525,0.0010890000000000001,5,DASH.main,0,2017-12-13T14:11:07Z,2017-12-13 14:11:07,0.00021780000000000004
61,786524,0.000665,4,DASH.main,0,2017-12-13T14:10:46Z,2017-12-13 14:10:46,0.00016625
62,786523,0.00787582,26,DASH.main,0,2017-12-13T14:10:20Z,2017-12-13 14:10:20,0.00030291615384615383
63,786522,0.04660769,48,DASH.main,0,2017-12-13T14:08:09Z,2017-12-13 14:08:09,0.0009709935416666668
64,786521,0.0,1,DASH.main,0,2017-12-13T14:03:33Z,2017-12-13 14:03:33,0.0
65,786520,0.0013606,3,DASH.main,0,2017-12-13T14:03:30Z,2017-12-13 14:03:30,0.0004535333333333333
66,786519,0.00136041,10,DASH.main,0,2017-12-13T14:03:20Z,2017-12-13 14:03:20,0.000136041
67,786518,0.0055586,25,DASH.main,0,2017-12-13T14:02:16Z,2017-12-13 14:02:16,0.00022234400000000002
68,786517,0.0002374,3,DASH.main,0,2017-12-13T14:00:01Z,2017-12-13 14:00:01,7.913333333333334e-05
69,786516,0.00735899,30,DASH.main,0,2017-12-13T13:59:34Z,2017-12-13 13:59:34,0.0002452996666666667
70,786515,0.02059421,51,DASH.main,0,2017-12-13T13:56:42Z,2017-12-13 13:56:42,0.00040380803921568633
71,786514,0.00146745,9,DASH.main,0,2017-12-13T13:51:25Z,2017-12-13 13:51:25,0.00016305
72,786513,0.00861675,27,DASH.main,0,2017-12-13T13:50:36Z,2017-12-13 13:50:36,0.0003191388888888889
73,786512,0.0165,4,DASH.main,0,2017-12-13T13:48:04Z,2017-12-13 13:48:04,0.004125
74,786511,0.01071508,15,DASH.main,0,2017-12-13T13:47:51Z,2017-12-13 13:47:51,0.0007143386666666668
75,786510,0.01013857,25,DASH.main,0,2017-12-13T13:46:17Z,2017-12-13 13:46:17,0.0004055428
76,786509,0.007686,4,DASH.main,0,2017-12-13T13:43:40Z,2017-12-13 13:43:40,0.0019215
77,786508,0.00183966,12,DASH.main,0,2017-12-13T13:43:13Z,2017-12-13 13:43:13,0.000153305
78,786507,0.02577574,15,DASH.main,0,2017-12-13T13:42:25Z,2017-12-13 13:42:25,0.0017183826666666668
79,786506,2.516e-05,4,DASH.main,0,2017-12-13T13:41:04Z,2017-12-13 13:41:04,6.29e-06
80,786505,0.00684139,32,DASH.main,0,2017-12-13T13:40:18Z,2017-12-13 13:40:18,0.0002137934375
81,786504,0.04213144,112,DASH.main,0,2017-12-13T13:36:27Z,2017-12-13 13:36:27,0.00037617357142857134
82,786503,0.02037767,51,DASH.main,0,2017-12-13T13:23:48Z,2017-12-13 13:23:48,0.00039956215686274513
83,786502,0.01349868,56,DASH.main,0,2017-12-13T13:17:31Z,2017-12-13 13:17:31,0.0002410478571428572
84,786501,0.000213,3,DASH.main,0,2017-12-13T13:12:05Z,2017-12-13 13:12:05,7.099999999999999e-05
85,786500,0.00385154,19,DASH.main,0,2017-12-13T13:11:47Z,2017-12-13 13:11:47,0.00020271263157894736
86,786499,0.0127436,13,DASH.main,0,2017-12-13T13:10:20Z,2017-12-13 13:10:20,0.000980276923076923
87,786498,0.07132441,60,DASH.main,0,2017-12-13T13:09:03Z,2017-12-13 13:09:03,0.0011887401666666668
88,786497,0.00179787,10,DASH.main,0,2017-12-13T13:01:34Z,2017-12-13 13:01:34,0.00017978700000000002
89,786496,0.00260354,12,DASH.main,0,2017-12-13T13:00:39Z,2017-12-13 13:00:39,0.00021696166666666667
90,786495,0.00537524,28,DASH.main,0,2017-12-13T12:59:52Z,2017-12-13 12:59:52,0.00019197285714285715
91,786494,0.00382094,25,DASH.main,0,2017-12-13T12:57:22Z,2017-12-13 12:57:22,0.0001528376
92,786493,0.00315985,21,DASH.main,0,2017-12-13T12:54:49Z,2017-12-13 12:54:49,0.00015046904761904762
93,786492,0.08766575,86,DASH.main,0,2017-12-13T12:53:25Z,2017-12-13 12:53:25,0.0010193691860465118
94,786491,0.01306136,21,DASH.main,0,2017-12-13T12:42:18Z,2017-12-13 12:42:18,0.0006219695238095239
95,786490,0.00118087,5,DASH.main,0,2017-12-13T12:39:53Z,2017-12-13 12:39:53,0.00023617400000000002
96,786489,0.15859503,40,DASH.main,0,2017-12-13T12:39:13Z,2017-12-13 12:39:13,0.00396487575
97,786488,0.01013683,5,DASH.main,0,2017-12-13T12:34:26Z,2017-12-13 12:34:26,0.002027366
98,786487,0.0001,2,DASH.main,0,2017-12-13T12:34:02Z,2017-12-13 12:34:02,5e-05
99,786486,0.04329008,116,DASH.main,0,2017-12-13T12:34:00Z,2017-12-13 12:34:00,0.00037319034482758616
100,786485,0.0033563000000000004,9,DASH.main,0,2017-12-13T12:20:18Z,2017-12-13 12:20:18,0.00037292222222222216
101,786484,0.01042391,41,DASH.main,0,2017-12-13T12:19:08Z,2017-12-13 12:19:08,0.0002542417073170732
