,Height,RewardFee,Transactions,blockchain,nonce,time,Time,AvgFee/Tx
113,2009217,3.17761109,5,DOGE.main,0,2017-12-13T14:33:03Z,2017-12-13 14:33:03,0.635522218
114,2009216,22.91271873,18,DOGE.main,0,2017-12-13T14:32:39Z,2017-12-13 14:32:39,1.2729288183333334
115,2009215,101.06187988,63,DOGE.main,0,2017-12-13T14:32:07Z,2017-12-13 14:32:07,1.6041568234920636
116,2009214,0.0,1,DOGE.main,0,2017-12-13T14:31:55Z,2017-12-13 14:31:55,0.0
117,2009213,93.76424167,57,DOGE.main,0,2017-12-13T14:30:20Z,2017-12-13 14:30:20,1.6449866959649124
118,2009212,2.0,2,DOGE.main,0,2017-12-13T14:28:03Z,2017-12-13 14:28:03,1.0
119,2009211,32.359649850000004,28,DOGE.main,0,2017-12-13T14:27:53Z,2017-12-13 14:27:53,1.1557017803571432
120,2009210,62.73048499,40,DOGE.main,0,2017-12-13T14:26:35Z,2017-12-13 14:26:35,1.56826212475
121,2009209,0.0,1,DOGE.main,0,2017-12-13T14:25:44Z,2017-12-13 14:25:44,0.0
122,2009208,0.0,1,DOGE.main,0,2017-12-13T14:24:53Z,2017-12-13 14:24:53,0.0
123,2009207,5.0,5,DOGE.main,0,2017-12-13T14:24:12Z,2017-12-13 14:24:12,1.0
124,2009206,8.0002,10,DOGE.main,0,2017-12-13T14:23:57Z,2017-12-13 14:23:57,0.80002
125,2009205,76.56707681,55,DOGE.main,0,2017-12-13T14:23:33Z,2017-12-13 14:23:33,1.3921286692727273
126,2009204,15.05316342,11,DOGE.main,0,2017-12-13T14:21:37Z,2017-12-13 14:21:37,1.3684694018181818
127,2009203,48.74901352,42,DOGE.main,0,2017-12-13T14:21:10Z,2017-12-13 14:21:10,1.160690798095238
128,2009202,26.674894,23,DOGE.main,0,2017-12-13T14:19:14Z,2017-12-13 14:19:14,1.159778
129,2009201,87.04153192,52,DOGE.main,0,2017-12-13T14:18:28Z,2017-12-13 14:18:28,1.6738756138461537
130,2009200,29.0,29,DOGE.main,0,2017-12-13T14:14:55Z,2017-12-13 14:14:55,1.0
131,2009199,6.99999995,7,DOGE.main,0,2017-12-13T14:13:21Z,2017-12-13 14:13:21,0.9999999928571428
