,Height,RewardFee,Transactions,blockchain,nonce,time,Time,AvgFee/Tx
104,1331536,0.55365362,180,LTC.main,0,2017-12-13T16:33:59Z,2017-12-13 16:33:59,0.0030758534444444447
105,1331535,0.0,1,LTC.main,0,2017-12-13T16:32:33Z,2017-12-13 16:32:33,0.0
106,1331534,3.15726083,937,LTC.main,0,2017-12-13T16:32:24Z,2017-12-13 16:32:24,0.00336954197438634
107,1331533,0.23505538,48,LTC.main,0,2017-12-13T16:24:21Z,2017-12-13 16:24:21,0.004896987083333334
108,1331532,0.10291012,37,LTC.main,0,2017-12-13T16:23:49Z,2017-12-13 16:23:49,0.002781354594594595
109,1331531,1.40614133,426,LTC.main,0,2017-12-13T16:23:31Z,2017-12-13 16:23:31,0.0033008012441314554
110,1331530,0.0,1,LTC.main,0,2017-12-13T16:20:04Z,2017-12-13 16:20:04,0.0
111,1331529,0.26615234,85,LTC.main,0,2017-12-13T16:20:02Z,2017-12-13 16:20:02,0.0031312040000000003
112,1331528,0.91432098,263,LTC.main,0,2017-12-13T16:19:15Z,2017-12-13 16:19:15,0.0034765056273764264
113,1331527,0.82419284,259,LTC.main,0,2017-12-13T16:16:56Z,2017-12-13 16:16:56,0.0031822117374517376
114,1331526,0.72970596,222,LTC.main,0,2017-12-13T16:14:46Z,2017-12-13 16:14:46,0.003286963783783784
115,1331525,0.86039312,235,LTC.main,0,2017-12-13T16:12:49Z,2017-12-13 16:12:49,0.003661247319148936
116,1331524,0.31919372,103,LTC.main,0,2017-12-13T16:10:42Z,2017-12-13 16:10:42,0.003098968155339806
117,1331523,0.0,1,LTC.main,0,2017-12-13T16:09:49Z,2017-12-13 16:09:49,0.0
118,1331522,0.45099727,195,LTC.main,0,2017-12-13T16:09:45Z,2017-12-13 16:09:45,0.0023128065128205128
119,1331521,1.45086494,309,LTC.main,0,2017-12-13T16:08:42Z,2017-12-13 16:08:42,0.00469535579288026
120,1331520,0.20475489,50,LTC.main,0,2017-12-13T16:05:32Z,2017-12-13 16:05:32,0.0040950978
